日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额,换手率(%)
2024-01-24,148.24,147.22,148.73,143.25,248710,3776131708.0,3.71,-0.29,-0.43,0.64
2024-01-25,145.74,148.74,148.84,143.45,294796,4503492567.0,3.66,1.03,1.52,0.76
2024-01-26,146.24,143.74,148.22,143.74,271813,4118576147.0,3.01,-3.36,-5.0,0.7
2024-01-29,143.18,140.76,144.52,140.76,217675,3235910042.0,2.62,-2.07,-2.98,0.56
2024-01-30,139.24,134.49,141.18,134.14,327274,4680164654.0,5.0,-4.45,-6.27,0.84
2024-01-31,138.74,145.33,146.7,137.74,595221,8943013792.0,6.66,8.06,10.84,1.53
2024-02-01,145.32,142.76,146.26,142.32,279688,4197978843.0,2.71,-1.77,-2.57,0.72
2024-02-02,141.74,139.74,142.74,137.11,307060,4494266567.0,3.94,-2.12,-3.02,0.79
2024-02-05,136.35,145.68,148.24,136.04,471326,7035622773.0,8.73,4.25,5.94,1.21
2024-02-06,144.93,152.07,153.0,144.56,437459,6828296924.0,5.79,4.39,6.39,1.12
2024-02-07,151.74,153.34,153.53,149.74,366070,5800699416.0,2.49,0.84,1.27,0.94
2024-02-08,153.24,156.58,158.74,152.62,309012,5016344779.0,3.99,2.11,3.24,0.79
2024-02-19,158.7,153.83,158.7,152.83,270925,4355156562.0,3.75,-1.76,-2.75,0.7
